id1,id,proc,order,time,score
117,184,1,2,1,2.25
117,184,1,2,2,1.75
121,190,1,2,1,2
121,190,1,2,2,6
123,192,1,2,1,2.5
123,192,1,2,2,2.5
125,197,1,2,1,4
125,197,1,2,2,4.75
129,201,1,1,1,5.75
129,201,1,1,2,6
130,202,1,2,1,4.25
130,202,1,2,2,3
131,203,1,2,1,4
131,203,1,2,2,6
132,204,1,1,1,3.75
132,204,1,1,2,5.75
133,206,1,1,1,4.25
133,206,1,1,2,5.75
135,208,1,1,1,4.25
135,208,1,1,2,3.75
136,209,1,1,1,4
136,209,1,1,2,2.25
139,213,1,1,1,4
139,213,1,1,2,1.5
140,214,1,2,1,3.25
140,214,1,2,2,5.75
141,215,1,1,1,2.75
141,215,1,1,2,6
144,218,1,2,1,3.5
144,218,1,2,2,4.25
146,220,1,1,1,5.25
146,220,1,1,2,5.75
148,222,1,1,1,2.25
148,222,1,1,2,3
150,224,1,2,1,2
150,224,1,2,2,1
156,231,1,1,1,2
156,231,1,1,2,5.25
157,232,1,1,1,5
157,232,1,1,2,6.5
158,234,1,1,1,5
158,234,1,1,2,7
160,236,1,1,1,2
160,236,1,1,2,6
161,237,1,1,1,3.5
161,237,1,1,2,4
162,238,1,2,1,2
162,238,1,2,2,4.25
163,239,1,1,1,2
163,239,1,1,2,2
164,240,1,1,1,2
164,240,1,1,2,6
165,241,1,2,1,5.25
165,241,1,2,2,3
166,243,1,2,1,1
166,243,1,2,2,5.75
167,244,1,1,1,1.25
167,244,1,1,2,1
168,245,1,2,1,2.5
168,245,1,2,2,2.5
170,248,1,2,1,2
170,248,1,2,2,2
172,252,1,2,1,4.5
172,252,1,2,2,2
174,254,1,1,1,2.5
174,254,1,1,2,4
176,257,1,1,1,2.75
176,257,1,1,2,6.25
177,258,1,2,1,1
177,258,1,2,2,5
178,259,1,2,1,2
178,259,1,2,2,3
181,262,1,2,1,2
181,262,1,2,2,2
182,263,1,1,1,2.5
182,263,1,1,2,3.5
183,264,1,2,1,2.25
183,264,1,2,2,3.5
184,265,1,2,1,3.5
184,265,1,2,2,3.75
185,266,1,1,1,4.75
185,266,1,1,2,4.25
188,269,1,2,1,2.5
188,269,1,2,2,4.75
189,272,1,1,1,1
189,272,1,1,2,1.5
191,274,1,2,1,2
191,274,1,2,2,5.75
193,276,1,1,1,2
193,276,1,1,2,2.25
195,278,1,1,1,4
195,278,1,1,2,5.5
196,279,1,2,1,4
196,279,1,2,2,7
198,281,1,1,1,1.75
198,281,1,1,2,3
207,292,1,1,1,4.5
207,292,1,1,2,4.25
208,293,1,1,1,2
208,293,1,1,2,2
210,295,1,2,1,1.25
210,295,1,2,2,1
218,304,1,1,1,4.5
218,304,1,1,2,5
220,309,1,1,1,4
220,309,1,1,2,3
221,310,1,2,1,1.75
221,310,1,2,2,2.75
223,313,1,1,1,5.5
223,313,1,1,2,5.75
225,315,1,2,1,3
225,315,1,2,2,6
